"CHEM_COMP_ID","DESCRIPTOR"
"F5B","WACNXHCZHTVBJM-UHFFFAOYSA-N"
"0WM","ULXXDDBFHOBEHA-CWDCEQMOSA-N"
"IU0","JEDSYLJTJIINOF-GMTAPVOTSA-N"
"60K","JHTDQQNFBRWRSP-UHFFFAOYSA-N"
"7QK","JDOAXXVMDRGGTF-QMMMGPOBSA-N"
"10V","OVZBZLASXPSCEA-UUOWRZLLSA-N"
"00E","VIWZVFVJPXTXPA-UHFFFAOYSA-N"
"8AS","YUYHRSGXZZVNMS-UHFFFAOYSA-N"
"K4K","FZATYXICMFSLHR-KRWDZBQOSA-N"
"4OO","PELCQEFOHMFUSP-QMMMGPOBSA-O"
"5FI","FBLPQCAQRNSVHB-UHFFFAOYSA-N"
"BNK","PBWTZCXFWIEPCV-UHFFFAOYSA-N"
"K7S","UUDBNZHNESYAMK-UHFFFAOYSA-N"
"PJM","ZSDQWZVUVIKSDR-YTTGMZPUSA-N"
"ZN2","PTFCDOFLOPIGGS-UHFFFAOYAK"
"FE6","UKBISIPKUKNJKU-UHFFFAOYSA-N"
"EYK","BGNXCDMCOKJUMV-UHFFFAOYSA-N"
"4LP","GKNWEXDLAOKVLQ-UHFFFAOYSA-N"
"ZSB","BWINBHTTZLVXGT-NVXWUHKLSA-N"
"9EI","GCOPBALHEUXTEM-UHFFFAOYSA-N"
"QU4","GIXWDMTZECRIJT-UHFFFAOYSA-N"
"E3H","HJDBFGUURXLNGK-UHFFFAOYSA-N"
"FNR","YTNIXZGTHTVJBW-SCRDCRAPSA-N"
"ZZT","WXWCDTXEKCVRRO-UHFFFAOYSA-N"
"442","KIRQJXNQGZAKGR-UHFFFAOYSA-N"
"MMQ","MJZCELCYTRONIX-UHFFFAOYSA-L"
"5K1","OTONLNOSZVKIHK-IBGZPJMESA-N"
"LTF","DGGKRIGJIQRXQD-LLVKDONJSA-N"
"YJS","NDRFFOKFYGUOKD-ZDUSSCGKSA-N"
"74U","AZNLVBWSZDPKAA-UHFFFAOYSA-N"
"NNZ","YORFTLSSGMZBTM-UHFFFAOYSA-N"
"4UE","FOLNSFQIWULSJC-UHFFFAOYSA-N"
"EE2","MFTKMGJMWGIHJP-HJKFZPBFSA-N"
"UZ4","YERLKFCTXVNUDF-HCWXCVPCSA-N"
"X0W","SOWIEKUNTPLSOC-UHFFFAOYSA-N"
"WCA","DMZOKBALNZWDKI-MATMFAIHSA-N"
"6J0","YCRYBRYYCUMKOD-UHFFFAOYSA-N"
"E9V","CYZKJBZEIFWZSR-LURJTMIESA-N"
"1JM","PYGJXCANQONKFD-SECBINFHSA-N"
"BFB","LWFFSSMDFWZNNW-LBPRGKRZSA-N"
"84O","PURDMVQHUYFOQM-UHFFFAOYSA-N"
"HHN","GYCPLYCTMDTEPU-UHFFFAOYSA-N"
"2LN","YKNAKDFZAWQEEO-LJQANCHMSA-N"
"M9N","YXTHLXJCVDULSY-QMMMGPOBSA-N"
"4EL","CBZPCOUPBNLTKW-UHFFFAOYSA-N"
"JJL","ZARNOYAJRQCTEJ-WPRPVWTQSA-N"
"T2X","PFEZQIWIVSFGSC-ZCFIWIBFSA-N"
"KL5","PURMMQOEOOZDEQ-UHFFFAOYSA-N"
"DLD","YKVRUFHLKAPVGV-CHCRNKISSA-N"
"U48","RGDVNLHBCKWZDA-XLPZGREQSA-O"
"QB7","RIRVHDJGGWFHBP-UHFFFAOYSA-N"
"YVM","AMUUPQIKCDYOIG-XQVPNCLKSA-N"
"FUU","COAUEHYQQBGZLC-UHFFFAOYSA-N"
"QSS","INWHDRNGZMHXEZ-UHFFFAOYSA-N"
"Q1I","MCQOBJKNIOQORB-UHFFFAOYSA-N"
"A9J","WBPJDOUFWQVMRN-UHFFFAOYSA-N"
"HSE","UKAUYVFTDYCKQA-VKHMYHEASA-N"
"0XM","MGHPNCMVUAKAIE-UHFFFAOYSA-N"
